Gioi tinh,Dan toc,Trinh do hoc van cua bo me,Dinh duong,Khoa on thi,Toan ,Van,Anh
2,5,1,2,1,78,74,72
2,3,1,2,0,49,51,51
2,2,2,1,0,59,58,47
1,3,3,1,1,70,72,76
2,2,1,1,1,82,84,78
2,5,1,2,0,90,90,82
1,3,4,2,0,43,62,61
2,3,3,2,0,80,64,66
2,4,3,1,0,81,82,84
2,3,2,1,0,57,61,54
1,4,2,1,0,59,72,80
1,4,1,1,0,64,76,74
2,3,4,1,1,63,64,66
1,5,4,1,1,71,70,70
1,2,2,2,0,64,73,71
2,4,4,2,0,55,46,44
1,5,1,1,0,51,51,54
1,3,1,1,1,62,76,80
1,5,1,1,1,93,100,95
2,3,2,2,0,54,72,59
1,4,3,2,0,69,65,74
2,4,2,2,0,44,51,48
1,5,3,1,1,86,85,91
1,5,1,1,0,85,92,85
1,1,5,2,0,50,67,73
2,4,2,1,1,88,74,75
1,5,1,1,0,59,62,69
1,5,2,2,0,32,34,38
2,2,2,2,0,36,29,27
1,2,2,2,1,63,78,79
2,4,1,1,1,67,54,63
1,4,2,1,1,65,78,82
2,4,5,1,0,85,84,89
1,3,5,1,0,73,78,74
1,1,2,2,1,34,48,41
1,4,4,2,1,93,100,100
1,4,2,2,0,67,84,84
2,4,3,1,0,88,77,77
2,2,2,1,0,57,48,51
1,4,3,1,1,79,84,91
1,3,4,2,0,67,75,72
2,5,4,1,1,70,64,70
2,4,4,2,0,50,42,48
1,1,3,1,0,69,84,82
1,3,4,1,1,52,61,66
1,3,4,2,1,47,62,66
1,2,1,2,0,46,61,55
1,5,3,1,0,68,70,66
2,5,4,1,1,100,100,100
1,3,2,1,0,44,61,52
1,3,1,1,1,57,77,80
2,2,3,1,1,91,96,91
2,4,2,2,0,69,70,67
1,3,2,2,0,35,53,46
2,4,2,1,0,72,66,66
1,2,1,2,0,54,65,65
2,4,2,2,0,74,70,69
2,5,2,1,1,74,64,60
2,5,1,2,0,64,56,52
1,4,2,2,1,65,61,71
2,5,1,2,1,46,43,44
1,3,2,2,0,48,56,51
2,3,3,2,1,67,74,70
2,4,3,2,0,62,57,62
2,4,1,2,1,61,71,73
2,3,4,2,1,70,75,74
2,3,1,1,1,98,87,90
2,4,3,2,0,70,63,58
2,1,1,1,0,67,57,53
1,5,2,2,0,57,58,57
2,4,3,1,1,85,81,85
2,4,2,1,1,77,68,69
2,3,5,2,1,72,66,72
1,4,5,1,0,78,91,96
2,3,2,1,0,81,66,64
2,1,2,2,1,61,62,61
1,2,2,1,0,58,68,61
1,3,1,1,0,54,61,58
2,2,2,1,0,82,82,80
1,4,3,2,0,49,58,60
2,2,2,2,1,49,50,52
1,5,2,2,1,57,75,73
2,5,2,1,0,94,73,71
1,4,3,1,1,75,77,83
1,5,2,2,0,74,74,72
2,3,2,1,1,58,52,54
1,3,3,1,0,62,69,69
2,5,1,1,0,72,57,62
2,3,3,1,0,84,87,81
1,4,5,1,0,92,100,100
1,4,2,1,0,45,63,59
2,3,2,1,0,75,81,71
1,1,3,1,0,56,58,64
1,4,2,2,0,48,54,53
1,5,1,1,0,100,100,100
1,3,2,2,1,65,76,75
2,4,3,1,0,72,57,58
1,4,3,1,0,62,70,72
2,1,2,1,1,66,68,64
2,3,3,1,0,63,63,60
1,5,1,1,0,68,76,67
1,2,4,1,0,75,84,80
1,4,4,1,0,89,100,100
2,3,2,1,1,78,72,69
1,1,2,2,1,53,50,60
1,4,3,2,0,49,65,61
1,1,3,1,0,54,63,67
1,3,3,1,1,64,82,77
2,2,3,2,1,60,62,60
2,3,1,1,0,62,65,58
2,4,2,1,1,55,41,48
1,3,1,1,0,91,95,94
1,2,2,2,0,8,24,23
2,4,2,1,0,81,78,78
2,2,2,1,1,79,85,86
1,1,3,1,1,78,87,91
1,3,2,1,0,74,75,82
2,1,2,1,0,57,51,54
1,3,1,1,0,40,59,51
2,5,2,1,1,81,75,76
1,1,2,2,0,44,45,45
1,4,3,2,1,67,86,83
2,5,2,2,1,86,81,75
1,2,2,1,1,65,82,78
1,4,1,2,0,55,76,76
1,4,4,2,0,62,72,74
2,1,2,1,0,63,63,62
1,5,5,1,1,88,99,95
2,3,2,2,0,62,55,55
1,3,2,2,1,59,71,65
1,4,3,1,1,68,78,77
1,4,3,2,0,77,86,86
